time_of_review,timestamp,product_id,product_name,summary,review,bin_sentiment
2020-12-21 13:19:52,1608556792,B00904JILO,NETGEAR Push2TV Wireless Display HDMI Adapter with Miracast (PTV3000) Certified for use with Kindle Fire HDX,Amazing (with a few frustrations),"Let's just start this way:  Is it perfect?  NO.Is it still worth every penny I paid?  YES.For me, setting it up could not have been easier.  It worked on the first try with the like 5-step directions that were included in the box.With that said, I had a few headaches initially with scaling issues but realized (after about 20 minutes) that this was the TV's fault, not the PTV3000.  I changed the scaling to &#34;1:1&#34; and now it works perfect.I am using a Dell Venue 8 Pro with this to power a 1080p Sceptre LCD display.  It works incredibly well.  Is there noticeable lag?  Of course there is.  I'm using an 8&#34; tablet with a full versions of Windows on it.  But, the lag is completely tolerable for everything I do with the machine.  Outside of gaming, and maybe movie streaming (haven't really tried it, but I bet it would work), this thing works excellent.",1.0
2020-12-21 13:28:25,1608557305,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,It's Just As Advertised,"I bought this for my Samsung 7.0 Tablet (P3113) because I wanted a longer cord.  It works great.  The CORD is about 77"", but from tip to tip it is about 80"".  I measured it.  They did not skimp on the cord length.  I really like the green ""power"" light that turns on when it is plugged in.  I haven't timed it, but it take no longer to recharge my tablet compared to the original Samsung charger. I like the space-saving,  horizontal design to plug it into an outlet or powerstrip. Also, I was impressed with the customer service repsonses to other Amazon reviewers who had issues.  Overall, a great purchase.",1.0
2020-12-21 13:36:29,1608557789,B00CDS9HTM,AmazonBasics Large DSLR Gadget Bag (Gray interior),AmazonBasics Large Gadget Bag (Gray interior),"I store my Canon 6D, battery grip with the second battery tray, two lenses, external flash, 4 UV-filters, a hood, two batteries and various pens/notepads and user manuals inside this bag. The bag includes the dividers so you can customize your camera-bag storage needs.Love this bag so far!",1.0
2020-12-21 13:56:02,1608558962,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),Returned Because of Poor Quality of Still Images,"After many hours of research, the TS4 narrowly edged out the Olympus and Nikon competitors in the underwater, ruggedized class. I bought one in February. And I returned it at the beginning of March.The camera performs very poorly in anything other than full sunlight. Giant -- and I mean GIANT -- artifacts or large smeared areas appear in shots taken in any other conditions. One shot taken two full hours before sunset has what appears to be a pixelated version of the Batplane hovering over the northern horizon. Another shot of a stand of trees taken at the same time has a large area that looks like a watercolor painted by a blind person.The camera also has an uncanny ability to pick up glare that is invisible to the human eye. I had read of this issue in a couple of reviews but assumed that some form of operator error must have been involved. No so. This camera has magical powers, and not the good kind. If you are shooting something that is in a stream or pond or behind glass, there's a good chance you're going to get a surprise.Even in decent light, the camera struggled to find focus. Roughly one in five of my portrait shots were badly out of focus.To my eye, the camera's images were also flat and lacked saturation.The quality of the video was adequate.After resuming my research, I am beginning to suspect that none of the waterproof point-and-shoots currently on the market will produce still images that equal those of non-waterproof point-and-shoots that sold for $100 five years ago. My old Olympus FE-340 certainly took better stills than the TS4.",0.0
2020-12-21 13:59:59,1608559199,B00904JILO,NETGEAR Push2TV Wireless Display HDMI Adapter with Miracast (PTV3000) Certified for use with Kindle Fire HDX,Doesn't work well,"I could not get this to work with my surface pro tablet.  it's been sitting plugged in to my TV for the last few months untouched, it'll probably just get thrown out.",0.0
2020-12-21 14:25:21,1608560721,B0073HSHVM,Nikon COOLPIX S6300 16 MP Digital Camera with 10x Zoom NIKKOR Glass Lens and Full HD 1080p Video (Red),I CARRY MY OLD AND WIFES NEW COOL PIX WITH US WHENEVER WE GO OUT OF THE wIGWAM!!,A SUPRFINE CAMERA ESPECIALLY BY A ONE EYED POSTPOLIO SURVIVOR WITH FAR TOO MUCH POUNDAGE ON HIM AND NO ABILITY TO WALK BUT I CARRY MY OLD AND WIFES NEW COOL PIX WITH US WHENEVER WE GO OUT OF THE wIGWAM!!,1.0
2020-12-21 14:28:17,1608560897,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,Great product.,"I actually purchased this as a spare for my Galaxy tablet. I had already purchased a longer cord that plugs in to the OEM Samsung charger base that was provided with my tablet so I could sit in a chair and use my tablet. (The original cord was too short). I purchased this unit to keep as a spare, and I keep it in my travel bag so I don't have to worry about a charger for my tablet when I travel.",1.0
2020-12-21 14:49:32,1608562172,B0072KN5ZS,"2 Pack of Amazon Kindle Fire Anti-Fingerprint, Anti-Glare, Matte Finishing Screen Protector",VERRRRRRY DISSAPOINTED! >.&lt;,"I ORDERED A KINDLE FIRE 7"" ANTI GLARE SCREEN PROTECTOR BUT I GET A KINDLE FIRE HD 7"" ANTI GLARE SCREEN PROTECTOR INSTEAD!!! I'AM SO EXCITED TO REPLACE MY OLD SCREEN PROTECTOR ON MY KINDLE FIRE 7"" THAT I'AM VERRRRRRRRY DISSAPOINTED TO GET A BIGGER SIZE THAT DOESN'T FIT MY KINDLE FIRE 7"" OBVIOUSLY I DID NOT ORDER A KINDLE FIRE HD!!!!! THE PICTURE AND THE NAME OF THIS ITEM SAID IT ALL THAT IT IS A KINDLE FIRE 7"" ANTI GLARE SCREEN PROTECTOR!!! AND I DONT KNOW WHY MY REVIEW DOESN'T SHOW UP HERE! I WANT TO WARN OTHER CUSTOMERS BEFORE THEY BUY THIS ITEM FROM THIS SELLER!",0.0
2020-12-21 15:10:03,1608563403,B00D18U63O,"Surface 2 and 1 Sleeve, Snugg - Purple Leather Sleeve Case Protective Cover for Surface 2 and 1",Surface Pro,Wanted protection for my Surface Pro and there is a serious lack of decent sleeves/protectors out there. I received this and it works as advertised. Doesn't leave much room for anything else and fits bot keyboard types &#34;Snuggly&#34;,1.0
2020-12-21 15:23:10,1608564190,B00904JILO,NETGEAR Push2TV Wireless Display HDMI Adapter with Miracast (PTV3000) Certified for use with Kindle Fire HDX,Does not work. Avoid if you have a Mac. Does not work well will Kindle Fire HDX,"If you have a MAC do not buy. Tech support told me today that they do not support upgrading via MAC only via windows. The tech support for Netgear is not what I would have expected. Out of the box using my Kindle Fire HDX the picture is terrible. Fuzzy and pauses. And this is suppose to be certified to work with the Kindle Fire HDX. Do not know who certified this but I think they should refund my money. I should have stayed with the Kindle Fire HD with the HDMI connections and saved myself $600 and a lot of aggravation,",0.0
2020-12-21 15:30:11,1608564611,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),"Second Lumix, first was the TS3  again happy with all the adventures captured in super sharp detail",If only the seals could be guaranteed longer this would be perfect.  I still use my ts3 as my all around camera.  Still super pictures after many years.  I just do not take underwater.  Thus I bought the TS4 for a Hawaiian trip.  Snorkeled everyday and never a problem.  Great pictures still though some different programming options when taking pictures.  Hope they keep this model of one very similar for years.,1.0
2020-12-21 15:44:16,1608565456,B0073HSHVM,Nikon COOLPIX S6300 16 MP Digital Camera with 10x Zoom NIKKOR Glass Lens and Full HD 1080p Video (Red),"Not happy, Returned this Camera",For a budget camera I thought I was getting a good camera but it is a POS for a Nikon Product.,0.0
2020-12-21 16:09:31,1608566971,B0073HSHVM,Nikon COOLPIX S6300 16 MP Digital Camera with 10x Zoom NIKKOR Glass Lens and Full HD 1080p Video (Red),Love It,Love it! Love it! I bought this camera because I got tired of carrying around my Nikon D3000 camera everywhere I went. It takes great picture and videos. I wouldn't trade it for anything. NIKON Products Rules!,1.0
2020-12-21 16:18:59,1608567539,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,Extra Long Cord Is Perfect,"Bought this for my teenage son and he loves the long cord. He can sprawl out on his bed while using his tablet and still use the tablet while it is charging thanks to the 6.5 foot cord.I haven't heard any complaints about the charging time required, so take that for what it's worth.",1.0
2020-12-21 16:47:41,1608569261,B00D18U63O,"Surface 2 and 1 Sleeve, Snugg - Purple Leather Sleeve Case Protective Cover for Surface 2 and 1",IF you have the Surface Pro you WILL want this.,UPDATE ON MARCH 24TH:  This case still looks like new and is functioning perfect.  I could not be more pleased.A great price for a outstanding item.  This is a very well made leather wallet case.  I purchased the distressed nubuck leather.My surface pro with keyboard attached and even with a usb dongle attached fits this perfect.  Snug enough to protect but not snug enough to do harm.  It has a wonderful magnet closure that keeps it closed.The back pocket is roomy enough to slip my microsoft arc mouse into it.  I also have a smaller leather pocket that contains content on sdx cards that just slides in.This is very nice looking and would look great when taken to meetings.  Not a cheap looking wallet.I am very pleased with this purchase.,1.0
2020-12-21 16:50:27,1608569427,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,A Good Deal,It is working great so far. I haven't really noticed the faster charge buit it functions just as good as the OEM charger.,1.0
2020-12-21 17:01:03,1608570063,B0072KN5ZS,"2 Pack of Amazon Kindle Fire Anti-Fingerprint, Anti-Glare, Matte Finishing Screen Protector",love it,I love this product. I placed one on my Kindle and have not had to worry about the kids scratching my screen again.,1.0
2020-12-21 17:17:28,1608571048,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),Replaced my Go Pro (Automotive),"I used to use a go pro HD, when they say the mount is rated at 180 they mean it... any who. Pro's no case needed and has an LCD display.  Wide angle lens and great picture.  I use it with the fat gecko mount.  Just works great.  My only beef it it's kind of easy to scratch the glass in front of the lens so be careful.",1.0
2020-12-21 17:19:42,1608571182,B0073HSHVM,Nikon COOLPIX S6300 16 MP Digital Camera with 10x Zoom NIKKOR Glass Lens and Full HD 1080p Video (Red),Good Point and Shoot,"This is a good basic camera - nothing fancy.  It powers on quickly, and focuses pretty quick.  If you turn on too many features (smile detect, etc) it will drastically slow down focusing.  Only use those features for an organized group photo!  It certainly doesn't replace the DSLR for quality or speed.  My 6MP D50 makes a better pic, as it should, but this is very handy to carry around, and will easily fit in a shirt pocket.",1.0
2020-12-21 17:30:27,1608571827,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),"Great camera, just don't take it down more than 2 feet","I bought this camera excited that I could take it snorkeling. I took it to the beach a few times, kayaking, it worked wonderfully. The first time I took it snorkeling, I took it down maybe 10 feet, the screen started flashing and then refused to turn on at all. Mind you, I followed all of their procedures for making sure it was water tight religiously. Judging from the other 1 star reviewers, I'm super excited for Panasonic's warranty coverage.To make matters worse, the drops and spills extended coverage on the camera will NOT help you out if you tell them what really happened. I'm proud to say I have a very expensive brick.EDIT: 8/13/2012 (Yes, the day after the original review). I contacted Amazon to let them know that there is a problem with the item and that they might want to review it and consider not selling it anymore. To my amazed surprised, they offered to make it right even though it had been 4 months since I had purchased it. I LOVE YOU AMAZON!!",0.0
2020-12-21 18:06:18,1608573978,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),A great take-anywhere little camera,"The recently released Panasonic Lumix DMC-TS4 is a fantastic choice if you want a carry-anywhere camera that you even take underwater. It's fine as a regular point-and-shoot, but it really shines for fun in the water. Read on for more info.For most situations, I use a big Nikon SLR, preferably with a fast prime (fixed focal length) lens. That's the best solution for the family gatherings, recitals, all the usual stuff. I am an amateur, though. I like good gear, but I still am learning how to use it properly. So sometimes I get blurry shots. Overexposed. Less-than-ideal composition. But I try very hard to get it right, often with some pretty good results. That's with the big Nikon.But the best camera is the one you have with you, on your person. And that's not always going to be a big fat SLR. Commuting to work, running to the grocery store, walking the dog. You really going to carry that monster? No. So the little Lumix is a fantastic choice. It fits in your pocket, is waterproof to any depth most of us will take it (40 feet), and you can drop it once or twice before it breaks.It also has the usual geegaws of recent cameras. GPS, good video, the usual. This little guy even has an altimeter and a barometer. (Altimeter I get. Barometer, not at all.) Of all these many features, apart from waterproofing, the standouts are the optical zoom and the automatic panorama. An optical zoom, as you probably know, is vastly better than what is sometimes called a ""digital zoom."" Digital zoom is not a zoom at all, it's just making a part of the image bigger. A true optical zoom uses sophisticated glass to extend the focal length of the camera, without losing any resolution. It's pretty amazing that this little Lumix has a 4.6x optical zoom within its waterproof housing. Phenomenal, really.The instant panorama is a more common feature on cameras these days. The Lumix's just works really well.Downsides? The camera requires Panasonic's crumby and confusing proprietary software to get videos off a card. The software takes a long time to install, and doesn't appear available on their website. So save that disc! And woe betide you if you have a fancy laptop without a disc drive.But the inconvenience of this sub-par software is far outshined by the pretty remarkable performance of this take-anywhere little gem. Buy one.",1.0
2020-12-21 18:21:08,1608574868,B00D18U63O,"Surface 2 and 1 Sleeve, Snugg - Purple Leather Sleeve Case Protective Cover for Surface 2 and 1",Perfect Fit!,"This leather case worked really well. I was hesitant at first. As it turns out, it does fit the Surface (Surface 2 in my case) and the keyboard. Has a very good feel and looks great and well made too. It protects my Surface nicely.There is a back pocket where you can easily fit additional papers, etc., but I don't think I can fit the charger. I don't think it was mean for that anyway. Overall, a really nice protection for your Surface.",1.0
2020-12-21 18:29:13,1608575353,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),Put this on your don't buy list,"Let me start by saying that I am a photographer. I buy cameras all the time. I buy them for myself my family and recommend them for my friends. I love to do the research and usually enjoy the results. This camera came highly recommended by reliable sources(DPreview etc) and I purchased it 15 months ago. I bought this camera to serve a specific role as the go anywhere, not worry about camera that I could give to my six-year-old. It was for vacation swimming and snorkeling as well as winter skiing when it was extremely cold and other cameras wouldn't work. It served those purposes well during its first year. It gave decent pictures. It's GPS function was reliable. It was problem free and gave good underwater pictures as well. I followed the recommendations about maintenance for the camera's battery and memory card door (yes I read directions). I have a Nikonos film underwater camera. Yes I am old, but I understand the care and maintenance that's required for cameras that you take underwater.Last week while vacationing in Hawaii, snorkeling in shallow water we encountered a pod of dolphins. They were playfully all around us. A fantastic photo op. It was at that moment that my Lumix failed. The screen became multicolored lines without a discernible image and I could not capture an image. The day was partially saved by my wife's Canon S 95. She was able to capture some of the action from topsides.I researched this online and found that many owners had this problem and that Panasonic had recommended that after year you buy an expensive kit from them to recondition the door seal or send the camera to them and for a very significant fee they would do that repair/Maintenance.This is not mentioned in their owners manual nor did I receive an email or written product advisory. Now I have an expensive bronze colored paperweight. Based on the reviews Panasonic has not done anything for all of those customers whose cameras failed in this fashion.So sorry Panasonic but I will not be buying any more of your products. This is not how you treat customers. You are not Apple we have lots of other choices for the products that you make.",0.0
2020-12-21 18:45:57,1608576357,B00D18U63O,"Surface 2 and 1 Sleeve, Snugg - Purple Leather Sleeve Case Protective Cover for Surface 2 and 1",Top notch support for Snugg products,"My Snugg Microsoft Surface 1 & 2 Leather Wallet Case looks good, is solidly constructed and my Surface RT fits perfectly, but there was no magnetic closure device on the flap. Soon after my initial post here reporting a minor ""flap"" with the closure flap, I received an unsolicited message from a Snugg representative who offered to replace the case with a new one at no charge to me since it is covered by a lifetime warranty. This is the type of service we all would like to see prevail in the marketplace, but it rarely does. So, 5 stars to Snugg for their excellent support for an excellent product. I am quite happy with the Snugg case.",1.0
2020-12-21 18:59:02,1608577142,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,Spare charger for my Samsung Tab 2 10.1,I use my tablet routinely at work and needed a 2nd charger so I could ensure I had sufficient battery power for my long commute (bus) home.  This charger works great and the long cord is nice when I travel and need to charge while using in a hotel room.,1.0
2020-12-21 19:04:38,1608577478,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,Works as advertised,It's hard to come up with something interesting about a charger.  It charges my Note tablet quickly.  Great product if you need it.,1.0
2020-12-21 19:13:37,1608578017,B0073HSHVM,Nikon COOLPIX S6300 16 MP Digital Camera with 10x Zoom NIKKOR Glass Lens and Full HD 1080p Video (Red),DOA,Dead on arrival!  Ordered for a X mas present and she opened it on Christmas day and the camera was not charged nor would it take a charge just a total embarrassment,0.0
2020-12-21 19:14:27,1608578067,B00CDS9HTM,AmazonBasics Large DSLR Gadget Bag (Gray interior),Good value bag.,"This is a fairly basic bag which can fit a DSLR with a medium lens and one more lens.  Maybe a flash too if you have a smaller body.  I use it when I only want to carry one lens.  I have bigger bags for when I need to bring more.It holds a 5d3 fine, with a 24-70mm mkII with a 135 in the side pocket.  It looks like a camera bag, but at least it doesn't say Canon or Nikon in the front, so it's a little more conspicuous.  There are straps in front, and the top also velcros to the inner lid, which also has zippers.  So if you have the velcro, zipper and straps, it's pretty secure.There are definitely better bags out there, but for a no frills basic bag that does a decent job of protecting your camera and lenses, this is good.",1.0
2020-12-21 19:21:35,1608578495,B00904JILO,NETGEAR Push2TV Wireless Display HDMI Adapter with Miracast (PTV3000) Certified for use with Kindle Fire HDX,Works great with the new Kindle Fire HDX!!,"After reading all the reviews on this product, I was a bit worried about ordering it. I did not know what to expect. After I plugged it in, a white light appears on the very small unit. Believe me! It's very small! I then went to my Kindle and clicked on Settings. Then I went to Display and Sounds. Finally, I clicked on Display Mirroring. My Kindle Fire HDX found the device. Once it is found, you must click on it. It worked!!! Thanks Amazon!!!!  Don't hesitate to order this product! If you don't, well....you'll be sorry you didn't... Happy shopping!!!",1.0
2020-12-21 19:30:40,1608579040,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),Best ever bought outdoor fun camera with super diving results went up to 20 meter no problem,"Easy to use with all important features and modesExcellent results when diving, super clear pictures and easy handling under water",1.0
2020-12-21 20:07:26,1608581246,B00904JILO,NETGEAR Push2TV Wireless Display HDMI Adapter with Miracast (PTV3000) Certified for use with Kindle Fire HDX,Not ready for prime time,"I'm sitting here now, trying to get through a 2hr. movie.  It will freeze, disconnect and then you have to unplug it and plug it in again.  Oh,and you have to restart the Kindle Fire and you can then watch another 30min or so.  Uploading firmware.  Just look at how many versions they have had, yet it still isn't fixed!  Oh yea, and downloading the firmware was a 1 hr experience.  Tried a PC, it would only download 12% then stop.  Tried my android phone, it would download 30%, then stop.  Tried using the Kindle fire and after several tries finally got the 24MB file.  If this is the best Netgear can do to support this product, they should give it up.  Simply put, it's not ready for prime time.  It's a troublesome device at best.  How sad Kindle didn't have a HDMI cable so I can really enjoy their Amazon movies.",0.0
2020-12-21 20:59:58,1608584398,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,Works well and love having longer cord,"Works great with Samsung galaxy tab 10.1 connection not loose. Charging as well as OEM cord. Highly recommended, good quality",1.0
2020-12-21 21:04:29,1608584669,B0072KN5ZS,"2 Pack of Amazon Kindle Fire Anti-Fingerprint, Anti-Glare, Matte Finishing Screen Protector",does the job.,Only used one so far and it has worked out well. Thanks just a little concerned that it's easily imprintable. but does the job and in price range so no complaints.,1.0
2020-12-21 21:08:42,1608584922,B00D18U63O,"Surface 2 and 1 Sleeve, Snugg - Purple Leather Sleeve Case Protective Cover for Surface 2 and 1",Snugg Microsoft Surface 1 & 2 Leather Wallet Case in Black for RT,Great product.  Reasonable price.  I have a surface pro and bought a surface RT as well.  The both tablets fit nice and snug in the case.  I would recommend this case to anyone.,1.0
2020-12-21 21:08:46,1608584926,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),Fantastic Camera but...,"Do not take this camera underwater more than 21 feet.  It says it's &#34;waterproof to 40ft&#34;, but the digital display starts crushing at 21ft.  Not 20ft, but 21ft!Otherwise, FANTASTIC camera for the outdoor person.  I've had this camera underwater in salt water, fresh water and pools.  It has been exposed to -10 degree temps (F) at 13,000 feet at the top of a mountain in the snow.  I've had it at the beach, in the sand and it's still taking fantastic pictures.The photo and video quality are fantastic for a &#34;point and shoot&#34; camera.  There are many settings in the SCN menu that allow you to take photos where other point and shoot cameras fail miserably.  Night photos, underwater, close up, far away... LOVE LOVE LOVE this camera!",1.0
